rec_num,given_name,family_name,gender,dob,national_id,clinical_data
rec-0000000005-06,Heiru,Chepkoech,male,1995-08-12,199508125001143,MA1:199508125001143
rec-0000000005-07,Heiru,Chepkoech,male,1995-08-12,199508125001143,MA1:199508125001143
rec-0000000005-08,Heiru,Chepkoech,male,1995-08-12,,MA3:199508125001143
rec-0000000006-00,Henok,Mwanki,male,1982-01-26,,MA3:198201265001114
rec-0000000006-01,Henock,Mwangi,male,1982-01-26,,MA4:198201265001114
rec-0000000006-02,Henok,Mwangi,male,1982-01-26,198201265001114,MA2:198201265001114
rec-0000000007-00,Fajil,Maina,male,1975-11-23,,MA4:197511235001115
rec-0000000007-01,Fastil,Maina,male,1975-11-23,197511235001115,MA5:197511235001115
rec-0000000007-02,Fajil,Maina,male,1975-11-23,,MA5:197511235001115
rec-0000000007-03,Fajil,Maina,male,1975-11-23,,MA4:197511235001115
rec-0000000007-04,Fasil,Maina,male,1975-11-23,,MA4:197511235001115
rec-0000000007-05,Fasil,Maina,male,1975-11-23,,MA5:197511235001115
rec-0000000007-06,Fasil,Maina,male,1975-11-23,,MA5:197511235001115
rec-0000000007-07,Fastil,Maina,male,1975-11-23,,MA4:197511235001115
rec-0000000008-00,Seblehiwod,Muxira,female,1987-02-11,,FA4:198702115001095
rec-0000000008-01,Seblehiwod,Mucira,female,1987-02-11,,FA2:198702115001095
rec-0000000008-02,Seblehiwot,Muxira,female,1987-02-11,,FA1:198702115001095
rec-0000000008-03,Seblehiwod,Mucira,female,1987-02-11,,FA3:198702115001095
rec-0000000008-04,Seblehiwot,Muchira,female,1987-02-11,198702115001095,FA4:198702115001095
rec-0000000008-05,Seblehiwot,Mucira,female,1987-02-11,,FA2:198702115001095
rec-0000000008-06,Sebleiwot,Mucira,female,1987-02-11,,FA5:198702115001095
rec-0000000008-07,Sebleiwot,Muchira,female,1987-02-11,198702115001095,FA5:198702115001095
rec-0000000009-00,Bekele,Ahmed,male,2000-09-26,,MY2:200009265001129
rec-0000000010-00,Mihret,Kink'ori,female,1992-02-26,,FA3:199202265001091
rec-0000000010-01,Mihred,Kink'ori,female,1992-02-26,,FA5:199202265001091
rec-0000000011-00,Abebe,Cherodich,male,1976-11-25,,MA1:197611255001142
rec-0000000011-01,Abebe,Cherotich,male,1976-11-25,197611255001142,MA5:197611255001142
rec-0000000011-02,Abebe,Cherotich,male,1976-11-25,,MA1:197611255001142
rec-0000000011-03,Abebe,Cerotich,male,1976-11-25,197611255001142,MA3:197611255001142
rec-0000000011-04,Abeb,Cherotich,male,1976-11-25,,MA5:197611255001142
rec-0000000012-00,Weldearegay,Kimutai,male,1985-04-02,,MA1:198504025001151
rec-0000000012-01,Weldearegay,Kimutai,male,1985-04-02,198504025001151,MA5:198504025001151
rec-0000000012-02,Weldearegay,Kimutai,male,1985-04-02,,MA5:198504025001151
rec-0000000012-03,Weldearegay,Kimutay,male,1985-04-02,198504025001151,MA3:198504025001151
rec-0000000012-04,Weldearegay,Kimutai,male,1985-04-02,198504025001151,MA3:198504025001151
rec-0000000013-00,Maider,Chemutay,female,1948-04-29,,FS1:194804295001060
rec-0000000013-01,Mahider,Chemudai,female,1948-04-29,,FS2:194804295001060
rec-0000000013-02,Mahider,Chemutai,female,1948-04-29,,FS1:194804295001060
rec-0000000013-03,Maider,Chemutay,female,1948-04-29,194804295001060,FS1:194804295001060
rec-0000000014-00,Hassen,Wanjala,male,1985-05-23,198505235001135,MA2:198505235001135
rec-0000000014-01,Hazsen,Wansala,male,1985-05-23,,MA4:198505235001135
rec-0000000014-02,Hassen,Wansala,male,1985-05-23,,MA4:198505235001135
rec-0000000014-03,Hajsen,Wanjala,male,1985-05-23,,MA5:198505235001135
rec-0000000014-04,Hastsen,Wanzala,male,1985-05-23,,MA5:198505235001135
rec-0000000015-00,Sauh,Kiprotich,male,1980-09-05,198009055001146,MA1:198009055001146
rec-0000000015-01,Sauh,Kiprotich,male,1980-09-05,198009055001146,MA2:198009055001146
rec-0000000015-02,Sau,Kiprotic,male,1980-09-05,,MA3:198009055001146
rec-0000000016-00,Habtamu,Cherop,female,1978-05-31,,FA1:197805315001067
rec-0000000016-01,Habtamu,Cerop,female,1978-05-31,197805315001067,FA5:197805315001067
rec-0000000016-02,Habtamu,Cherop,female,1978-05-31,197805315001067,FA5:197805315001067
rec-0000000016-03,Habtamu,Cerop,female,1978-05-31,,FA3:197805315001067
rec-0000000017-00,Demijse,Aly,male,1989-09-17,,MA1:198909175001118
rec-0000000017-01,Demisse,Ali,male,1989-09-17,198909175001118,MA1:198909175001118
rec-0000000017-02,Demizse,Ali,male,1989-09-17,,MA2:198909175001118
rec-0000000017-03,Demisse,Ali,male,1989-09-17,198909175001118,MA2:198909175001118
rec-0000000017-04,Demizse,Ali,male,1989-09-17,198909175001118,MA4:198909175001118
rec-0000000018-00,Selamawit,Benaahd,female,1975-12-11,,FA4:197512115001098
rec-0000000019-00,Geprearegawi,Yussuv,male,1949-02-05,,MS2:194902055001153
rec-0000000019-01,Gebrearegai,Yussuf,male,1949-02-05,194902055001153,MS1:194902055001153
rec-0000000019-02,Gebrearekawi,Yussuv,male,1949-02-05,,MS2:194902055001153
rec-0000000019-03,Gebrearegawy,Yussuf,male,1949-02-05,,MS1:194902055001153
rec-0000000019-04,Geprearegawi,Yuzsuf,male,1949-02-05,,MS2:194902055001153
rec-0000000020-00,Yiprealem,Jepkemboi,female,1974-08-09,,FA1:197408095001083
rec-0000000020-01,Yibrealem,Jepkemboi,female,1974-08-09,,FA5:197408095001083
rec-0000000020-02,Yibrealem,Jepkemboi,female,1974-08-09,,FA1:197408095001083
rec-0000000021-00,Getaneh,Wampua,male,1974-01-13,197401135001135,MA3:197401135001135
rec-0000000021-01,Getaneh,Wambua,male,1974-01-13,197401135001135,MA1:197401135001135
rec-0000000021-02,Gedaneh,Wampua,male,1974-01-13,,MA2:197401135001135
rec-0000000021-03,Gedaneh,Wampua,male,1974-01-13,,MA3:197401135001135
rec-0000000021-04,Getaneh,Wambua,male,1974-01-13,197401135001135,MA5:197401135001135
rec-0000000021-05,Gedaneh,Wambua,male,1974-01-13,,MA5:197401135001135
rec-0000000022-00,Teklu,Omar,male,1986-08-26,,MA4:198608265001137
rec-0000000022-01,Tecklu,Omaah,male,1986-08-26,,MA2:198608265001137
rec-0000000022-02,Tecklu,Omaah,male,1986-08-26,,MA1:198608265001137
rec-0000000022-03,Teklu,Omaah,male,1986-08-26,,MA2:198608265001137
rec-0000000022-04,Teklu,Omar,male,1986-08-26,,MA5:198608265001137
rec-0000000023-00,Adanekh,Okelo,female,1991-05-20,,FA1:199105205001064
rec-0000000023-01,Adanech,Okello,female,1991-05-20,199105205001064,FA4:199105205001064
rec-0000000023-02,Adanec,Okello,female,1991-05-20,199105205001064,FA2:199105205001064
rec-0000000023-03,Adanech,Ockello,female,1991-05-20,,FA2:199105205001064
rec-0000000023-04,Adanekh,Okelo,female,1991-05-20,,FA2:199105205001064
rec-0000000023-05,Adanech,Okello,female,1991-05-20,199105205001064,FA4:199105205001064
rec-0000000023-06,Adanekh,Ockello,female,1991-05-20,,FA4:199105205001064
rec-0000000023-07,Adanech,Okello,female,1991-05-20,,FA4:199105205001064
rec-0000000024-00,Weyeny,Kipchumba,female,1976-03-07,,FA3:197603075001061
rec-0000000025-00,Sintayehu,Mbugua,male,1978-07-18,197807185001144,MA2:197807185001144
rec-0000000026-00,Zena,Mohamed,male,1993-01-12,,MA4:199301125001111
rec-0000000026-01,Zena,Mohamed,male,1993-01-12,199301125001111,MA4:199301125001111
rec-0000000026-02,Zena,Moamed,male,1993-01-12,,MA3:199301125001111
rec-0000000026-03,Zena,Mohamed,male,1993-01-12,,MA2:199301125001111
rec-0000000026-04,Zena,Mohamed,male,1993-01-12,,MA1:199301125001111
rec-0000000026-05,Zena,Mohamed,male,1993-01-12,,MA3:199301125001111
rec-0000000026-06,Zena,Mohamed,male,1993-01-12,,MA5:199301125001111
rec-0000000026-07,Zena,Mohamed,male,1993-01-12,,MA2:199301125001111
rec-0000000026-08,Zena,Mohamed,male,1993-01-12,,MA5:199301125001111
rec-0000000027-00,Hayat,Mutizya,female,1952-01-15,,FS1:195201155001059
rec-0000000027-01,Haiat,Mutistya,female,1952-01-15,,FS1:195201155001059
rec-0000000027-02,Hayat,Mutisya,female,1952-01-15,195201155001059,FS1:195201155001059
rec-0000000028-00,Ababekh,Moraa,female,1961-12-07,,FA3:196112075001061
rec-0000000028-01,Ababech,Morar,female,1961-12-07,,FA4:196112075001061
rec-0000000028-02,Ababec,Moraa,female,1961-12-07,196112075001061,FA2:196112075001061
rec-0000000028-03,Ababekh,Moraa,female,1961-12-07,,FA4:196112075001061
rec-0000000028-04,Ababech,Morar,female,1961-12-07,,FA4:196112075001061
rec-0000000029-00,Astsefa,Athiambo,male,1985-09-18,,MA3:198509185001132
rec-0000000029-01,Assefa,Adhiambo,male,1985-09-18,198509185001132,MA5:198509185001132
rec-0000000029-02,Ajsefa,Adhiampo,male,1985-09-18,,MA2:198509185001132
rec-0000000029-03,Assefa,Adhiampo,male,1985-09-18,,MA1:198509185001132
rec-0000000030-00,Yeapsira,Akoth,male,1980-08-24,198008245001147,MA3:198008245001147
rec-0000000030-01,Yeapsira,Akot,male,1980-08-24,,MA1:198008245001147
rec-0000000030-02,Yeabjira,Akodh,male,1980-08-24,,MA2:198008245001147
rec-0000000030-03,Yeabsira,Akoth,male,1980-08-24,198008245001147,MA1:198008245001147
rec-0000000030-04,Yeabsira,Akoth,male,1980-08-24,198008245001147,MA5:198008245001147
rec-0000000031-00,Tekle,Omondy,male,1986-04-01,198604015001119,MA3:198604015001119
rec-0000000031-01,Tekile,Omondi,male,1986-04-01,,MA4:198604015001119
rec-0000000031-02,Teckle,Omonti,male,1986-04-01,,MA1:198604015001119
rec-0000000032-00,Haoigu,Owino,male,1979-10-01,,MA4:197910015001141
rec-0000000032-01,Haoiku,Oino,male,1979-10-01,,MA3:197910015001141
rec-0000000032-02,Haoigu,Oino,male,1979-10-01,,MA3:197910015001141
rec-0000000032-03,Haoigu,Owino,male,1979-10-01,,MA1:197910015001141
rec-0000000032-04,Haoiku,Oino,male,1979-10-01,,MA1:197910015001141
rec-0000000032-05,Haoigu,Oino,male,1979-10-01,197910015001141,MA5:197910015001141
rec-0000000032-06,Haoigu,Oino,male,1979-10-01,,MA3:197910015001141
rec-0000000032-07,Haoigu,Owino,male,1979-10-01,197910015001141,MA1:197910015001141
rec-0000000032-08,Haoiku,Oino,male,1979-10-01,197910015001141,MA4:197910015001141
rec-0000000033-00,Betelhem,Mulwa,female,1994-07-29,199407295001066,FA1:199407295001066
rec-0000000033-01,Bethelhem,Mulwa,female,1994-07-29,,FA4:199407295001066
rec-0000000033-02,Bethelhem,Mulwa,female,1994-07-29,199407295001066,FA2:199407295001066
rec-0000000033-03,Bedhelhem,Mula,female,1994-07-29,,FA2:199407295001066
rec-0000000033-04,Betelhem,Mulwa,female,1994-07-29,,FA2:199407295001066
rec-0000000033-05,Bethelhem,Mula,female,1994-07-29,199407295001066,FA3:199407295001066
rec-0000000033-06,Bedhelhem,Mula,female,1994-07-29,,FA1:199407295001066
rec-0000000033-07,Bethelhem,Mulwa,female,1994-07-29,199407295001066,FA3:199407295001066
rec-0000000033-08,Bethelhem,Mula,female,1994-07-29,,FA1:199407295001066
rec-0000000034-00,Selam,Ooko,female,1989-06-14,,FA4:198906145001075
rec-0000000034-01,Selam,Oocko,female,1989-06-14,,FA1:198906145001075
rec-0000000034-02,Selam,Oocko,female,1989-06-14,198906145001075,FA2:198906145001075
rec-0000000034-03,Selam,Ooko,female,1989-06-14,198906145001075,FA5:198906145001075
rec-0000000034-04,Selam,Ooko,female,1989-06-14,198906145001075,FA5:198906145001075
rec-0000000034-05,Selam,Ooko,female,1989-06-14,198906145001075,FA1:198906145001075
rec-0000000034-06,Selam,Oocko,female,1989-06-14,,FA3:198906145001075
rec-0000000034-07,Selam,Ooko,female,1989-06-14,,FA3:198906145001075
rec-0000000034-08,Selam,Ooko,female,1989-06-14,198906145001075,FA4:198906145001075
rec-0000000035-00,Saron,Kang'edhe,female,1991-10-26,,FA2:199110265001090
rec-0000000035-01,Saron,Kang'ethe,female,1991-10-26,,FA4:199110265001090
rec-0000000035-02,Saron,Kang'edhe,female,1991-10-26,,FA2:199110265001090
rec-0000000035-03,Saron,Kang'ethe,female,1991-10-26,199110265001090,FA1:199110265001090
rec-0000000035-04,Saron,Kang'ethe,female,1991-10-26,,FA1:199110265001090
rec-0000000035-05,Saron,Kank'ethe,female,1991-10-26,199110265001090,FA5:199110265001090
rec-0000000035-06,Saron,Kang'ete,female,1991-10-26,,FA1:199110265001090
rec-0000000035-07,Saron,Kang'ete,female,1991-10-26,,FA3:199110265001090
rec-0000000036-00,Yimeah,Barasa,male,1999-12-03,,MY1:199912035001135
rec-0000000036-01,Yimer,Barasa,male,1999-12-03,,MY1:199912035001135
rec-0000000036-02,Yimeah,Barasa,male,1999-12-03,,MY1:199912035001135
rec-0000000036-03,Yimer,Barasa,male,1999-12-03,199912035001135,MY1:199912035001135
rec-0000000036-04,Yimer,Barasa,male,1999-12-03,,MY1:199912035001135
rec-0000000036-05,Yimer,Barasa,male,1999-12-03,,MY1:199912035001135
rec-0000000036-06,Yimer,Barasa,male,1999-12-03,199912035001135,MY2:199912035001135
rec-0000000036-07,Yimeah,Barasta,male,1999-12-03,,MY1:199912035001135
rec-0000000037-00,Kassaye,Wanjala,male,1987-02-02,,MA3:198702025001135
rec-0000000037-01,Kajsaye,Wanjala,male,1987-02-02,,MA4:198702025001135
rec-0000000037-02,Kassaye,Wanjala,male,1987-02-02,198702025001135,MA4:198702025001135
rec-0000000037-03,Kassaye,Wanzala,male,1987-02-02,,MA5:198702025001135
rec-0000000037-04,Kajsaye,Wansala,male,1987-02-02,,MA5:198702025001135
rec-0000000038-00,Tamene,Moamed,male,1987-01-01,,MA1:198701015001112
rec-0000000038-01,Tamen,Moamed,male,1987-01-01,,MA2:198701015001112
rec-0000000038-02,Tamen,Mohamed,male,1987-01-01,198701015001112,MA5:198701015001112
rec-0000000038-03,Tamene,Mohamed,male,1987-01-01,,MA3:198701015001112
rec-0000000038-04,Tamene,Mohamed,male,1987-01-01,,MA2:198701015001112
rec-0000000039-00,Felekech,Muchoki,female,1997-08-06,199708065001090,FY2:199708065001090
rec-0000000040-00,Jibril,Adiambo,male,1999-10-17,199910175001132,MY2:199910175001132
rec-0000000040-01,Jipril,Adhiambo,male,1999-10-17,,MY2:199910175001132
rec-0000000041-00,Kahsay,Nseru,male,1989-12-14,,MA3:198912145001150
rec-0000000042-00,Tesfay,Mutua,male,1987-06-17,,MA3:198706175001131
rec-0000000042-01,Tesfaye,Mudua,male,1987-06-17,,MA2:198706175001131
rec-0000000042-02,Testfaye,Mutua,male,1987-06-17,,MA1:198706175001131
rec-0000000043-00,Feyissa,Kimany,male,1979-08-23,,MA4:197908235001130
rec-0000000043-01,Feyistsa,Kimany,male,1979-08-23,,MA4:197908235001130
rec-0000000044-00,Meaza,Ngeno,female,1926-06-06,,FS1:192606065001065
rec-0000000044-01,Meaza,Ngeno,female,1926-06-06,192606065001065,FS1:192606065001065
rec-0000000044-02,Measa,Njyno,female,1926-06-06,,FS1:192606065001065
rec-0000000044-03,Measa,Ngeno,female,1926-06-06,,FS1:192606065001065
rec-0000000044-04,Measa,Nkeno,female,1926-06-06,,FS2:192606065001065
rec-0000000044-05,Meaza,Ngeno,female,1926-06-06,192606065001065,FS1:192606065001065
rec-0000000045-00,Mandevro,Ockoth,male,1985-10-05,,MA5:198510055001139
rec-0000000045-01,Mandevro,Ockoth,male,1985-10-05,,MA2:198510055001139
rec-0000000045-02,Mantefro,Okodh,male,1985-10-05,,MA4:198510055001139
rec-0000000045-03,Mantefro,Okodh,male,1985-10-05,,MA5:198510055001139
rec-0000000045-04,Mandefro,Okoth,male,1985-10-05,,MA3:198510055001139
rec-0000000045-05,Mandefro,Okoth,male,1985-10-05,198510055001139,MA1:198510055001139
rec-0000000045-06,Mandefro,Okoth,male,1985-10-05,198510055001139,MA1:198510055001139
rec-0000000045-07,Mandefro,Okot,male,1985-10-05,,MA3:198510055001139
rec-0000000045-08,Mandefro,Okot,male,1985-10-05,198510055001139,MA3:198510055001139
rec-0000000046-00,Zebiba,Ogola,female,1990-04-25,,FA5:199004255001080
rec-0000000046-01,Zebiba,Ogola,female,1990-04-25,199004255001080,FA4:199004255001080
rec-0000000046-02,Zepiba,Okola,female,1990-04-25,,FA3:199004255001080
rec-0000000046-03,Zepiba,Ogola,female,1990-04-25,199004255001080,FA3:199004255001080
rec-0000000046-04,Zebiba,Okola,female,1990-04-25,,FA5:199004255001080
rec-0000000046-05,Zepiba,Ogola,female,1990-04-25,199004255001080,FA2:199004255001080
rec-0000000046-06,Zebiba,Ogola,female,1990-04-25,199004255001080,FA2:199004255001080
rec-0000000046-07,Zebiba,Ogola,female,1990-04-25,199004255001080,FA1:199004255001080
rec-0000000046-08,Zepiba,Ogola,female,1990-04-25,,FA3:199004255001080
rec-0000000047-00,Asekedech,Ndanu,female,1976-09-30,197609305001081,FA2:197609305001081
rec-0000000047-01,Asegedech,Ndanu,female,1976-09-30,,FA5:197609305001081
rec-0000000048-00,Ayele,Wambua,male,1994-12-29,199412295001135,MA1:199412295001135
rec-0000000048-01,Ayele,Wambua,male,1994-12-29,,MA5:199412295001135
rec-0000000048-02,Ayele,Wambua,male,1994-12-29,,MA1:199412295001135
rec-0000000049-00,Woldejybriel,Odhyambo,male,1994-07-06,,MA2:199407065001114
rec-0000000049-01,Woldegebriel,Odiambo,male,1994-07-06,,MA1:199407065001114
rec-0000000049-02,Woltegebriel,Odiambo,male,1994-07-06,,MA4:199407065001114
rec-0000000049-03,Woldegebriel,Odhiambo,male,1994-07-06,199407065001114,MA5:199407065001114
rec-0000000049-04,Woldejybriel,Odhiambo,male,1994-07-06,199407065001114,MA1:199407065001114
rec-0000000049-05,Woldekebriel,Othiambo,male,1994-07-06,,MA1:199407065001114
rec-0000000049-06,Woldejybriel,Odiambo,male,1994-07-06,,MA2:199407065001114
rec-0000000050-00,Mamo,Wangary,male,1966-01-01,,MA1:196601015001141
rec-0000000050-01,Mamo,Wankari,male,1966-01-01,,MA2:196601015001141
rec-0000000050-02,Mamo,Wangari,male,1966-01-01,196601015001141,MA3:196601015001141
rec-0000000050-03,Mamo,Wangari,male,1966-01-01,,MA2:196601015001141
rec-0000000050-04,Mamo,Wangari,male,1966-01-01,,MA3:196601015001141
rec-0000000050-05,Mamo,Wangary,male,1966-01-01,196601015001141,MA3:196601015001141
rec-0000000051-00,Tesfay,Otieno,male,1983-06-07,198306075001111,MA4:198306075001111
rec-0000000051-01,Tezfay,Otieno,male,1983-06-07,,MA5:198306075001111
rec-0000000051-02,Tesfay,Otieno,male,1983-06-07,198306075001111,MA4:198306075001111
rec-0000000051-03,Tesfay,Otieno,male,1983-06-07,198306075001111,MA2:198306075001111
rec-0000000051-04,Tesfay,Odieno,male,1983-06-07,198306075001111,MA5:198306075001111
rec-0000000051-05,Tesvay,Otino,male,1983-06-07,,MA3:198306075001111
rec-0000000051-06,Tesfay,Otino,male,1983-06-07,,MA2:198306075001111
rec-0000000051-07,Tezfay,Otieno,male,1983-06-07,,MA3:198306075001111
rec-0000000052-00,Sepile,Koome,female,1985-08-26,,FA3:198508265001085
rec-0000000052-01,Sebil,Koom,female,1985-08-26,,FA1:198508265001085
rec-0000000052-02,Sepile,Koome,female,1985-08-26,,FA4:198508265001085
rec-0000000052-03,Sebile,Koome,female,1985-08-26,,FA5:198508265001085
rec-0000000052-04,Sebile,Koome,female,1985-08-26,198508265001085,FA3:198508265001085
rec-0000000053-00,Yohannis,Omondy,male,1991-10-19,199110195001119,MA2:199110195001119
rec-0000000053-01,Yohannis,Omondi,male,1991-10-19,199110195001119,MA1:199110195001119
rec-0000000053-02,Yohanis,Omondy,male,1991-10-19,,MA2:199110195001119
rec-0000000053-03,Yohannis,Omondi,male,1991-10-19,199110195001119,MA2:199110195001119
rec-0000000053-04,Yohannist,Omondy,male,1991-10-19,,MA2:199110195001119
rec-0000000053-05,Yohannis,Omondi,male,1991-10-19,,MA4:199110195001119
rec-0000000054-00,Depru,Moamed,male,1982-05-02,,MA4:198205025001112
rec-0000000054-01,Depru,Mohamed,male,1982-05-02,198205025001112,MA5:198205025001112
rec-0000000054-02,Debru,Moamed,male,1982-05-02,,MA4:198205025001112
rec-0000000055-00,Tsehay,Muigai,female,1962-03-10,,FA2:196203105001079
rec-0000000055-01,Tsehai,Muigay,female,1962-03-10,,FA2:196203105001079
rec-0000000055-02,Tsehay,Muigai,female,1962-03-10,196203105001079,FA5:196203105001079
rec-0000000055-03,Tseay,Muigay,female,1962-03-10,,FA2:196203105001079
rec-0000000055-04,Tsehai,Muigai,female,1962-03-10,,FA5:196203105001079
rec-0000000055-05,Tsehai,Muikai,female,1962-03-10,,FA3:196203105001079
rec-0000000056-00,Oumer,Oching,male,1998-10-07,,MY1:199810075001117
rec-0000000056-01,Oumer,Ochieng,male,1998-10-07,199810075001117,MY2:199810075001117
rec-0000000056-02,Oumeah,Oching,male,1998-10-07,,MY1:199810075001117
rec-0000000056-03,Oumer,Ochieng,male,1998-10-07,199810075001117,MY3:199810075001117
rec-0000000056-04,Oumeah,Ochieng,male,1998-10-07,,MY2:199810075001117
rec-0000000057-00,Teklu,Njenga,male,1956-02-23,,MS1:195602235001153
rec-0000000057-01,Teklu,Njenka,male,1956-02-23,195602235001153,MS1:195602235001153
rec-0000000057-02,Tecklu,Njenga,male,1956-02-23,,MS2:195602235001153
rec-0000000057-03,Tecklu,Njenga,male,1956-02-23,195602235001153,MS1:195602235001153
rec-0000000057-04,Teklu,Njenka,male,1956-02-23,195602235001153,MS1:195602235001153
rec-0000000057-05,Teklu,Njenga,male,1956-02-23,195602235001153,MS1:195602235001153
rec-0000000057-06,Tecklu,Nzenga,male,1956-02-23,,MS1:195602235001153
rec-0000000057-07,Tecklu,Njenga,male,1956-02-23,195602235001153,MS1:195602235001153
rec-0000000058-00,Astnakech,Mueni,female,1981-10-14,198110145001062,FA4:198110145001062
rec-0000000058-01,Asnakech,Mueni,female,1981-10-14,198110145001062,FA3:198110145001062
rec-0000000059-00,Teklu,Koech,male,1996-02-02,,MA5:199602025001136
rec-0000000059-01,Teklu,Koech,male,1996-02-02,199602025001136,MA1:199602025001136
rec-0000000059-02,Tecklu,Koec,male,1996-02-02,,MA3:199602025001136
rec-0000000059-03,Tecklu,Koec,male,1996-02-02,,MA2:199602025001136
rec-0000000059-04,Tecklu,Koec,male,1996-02-02,,MA5:199602025001136
rec-0000000059-05,Teklu,Koech,male,1996-02-02,,MA3:199602025001136
rec-0000000060-00,Hailu,Mpuru,male,1954-03-12,,MS1:195403125001147
rec-0000000060-01,Hailu,Mpuru,male,1954-03-12,,MS1:195403125001147
rec-0000000060-02,Hailu,Mburu,male,1954-03-12,195403125001147,MS1:195403125001147
rec-0000000060-03,Hailu,Mburu,male,1954-03-12,,MS1:195403125001147
rec-0000000060-04,Hailu,Mpuru,male,1954-03-12,,MS1:195403125001147
rec-0000000060-05,Hailu,Mpuru,male,1954-03-12,195403125001147,MS1:195403125001147
rec-0000000060-06,Hailu,Mburu,male,1954-03-12,,MS1:195403125001147
rec-0000000060-07,Hailu,Mburu,male,1954-03-12,195403125001147,MS1:195403125001147
rec-0000000061-00,Nekewo,Mutai,male,1998-04-04,199804045001150,MY3:199804045001150
rec-0000000061-01,Negewo,Mutai,male,1998-04-04,199804045001150,MY1:199804045001150
rec-0000000061-02,Negewo,Mutay,male,1998-04-04,,MY2:199804045001150
rec-0000000061-03,Negewo,Mudai,male,1998-04-04,,MY1:199804045001150
rec-0000000062-00,Ejigayehu,Oluoch,female,1995-02-01,199502015001064,FA4:199502015001064
rec-0000000063-00,Araia,Omaah,male,1984-04-11,,MA1:198404115001137
rec-0000000063-01,Araia,Omaah,male,1984-04-11,,MA1:198404115001137
rec-0000000063-02,Araya,Omar,male,1984-04-11,198404115001137,MA5:198404115001137
rec-0000000063-03,Araya,Omaah,male,1984-04-11,198404115001137,MA4:198404115001137
rec-0000000063-04,Araya,Omaah,male,1984-04-11,,MA4:198404115001137
rec-0000000063-05,Araia,Omaah,male,1984-04-11,,MA2:198404115001137
rec-0000000063-06,Araya,Omar,male,1984-04-11,198404115001137,MA2:198404115001137
rec-0000000064-00,Biniyam,Mendwa,male,1982-09-08,198209085001144,MA1:198209085001144
rec-0000000064-01,Biniiam,Mwendwa,male,1982-09-08,,MA2:198209085001144
rec-0000000064-02,Biniiam,Mwendwa,male,1982-09-08,,MA4:198209085001144
rec-0000000064-03,Biniiam,Mwentwa,male,1982-09-08,,MA1:198209085001144
rec-0000000064-04,Biniyam,Mwendwa,male,1982-09-08,,MA2:198209085001144
rec-0000000064-05,Biniyam,Mwendwa,male,1982-09-08,198209085001144,MA2:198209085001144
rec-0000000064-06,Biniiam,Mwendwa,male,1982-09-08,,MA3:198209085001144
rec-0000000064-07,Biniyam,Mwendwa,male,1982-09-08,198209085001144,MA2:198209085001144
rec-0000000064-08,Biniyam,Mwendwa,male,1982-09-08,,MA3:198209085001144
rec-0000000065-00,Birukdawit,Muthuri,female,1983-12-11,,FA5:198312115001089
rec-0000000065-01,Biruktait,Muturi,female,1983-12-11,198312115001089,FA4:198312115001089
rec-0000000066-00,Netsanet,Nyaguthii,female,1987-07-02,198707025001089,FA5:198707025001089
rec-0000000066-01,Netjanet,Niaguthii,female,1987-07-02,,FA4:198707025001089
rec-0000000066-02,Nedsanet,Nyagutii,female,1987-07-02,,FA2:198707025001089
rec-0000000066-03,Netjanet,Nyaguthii,female,1987-07-02,198707025001089,FA2:198707025001089
